əkəbə~dhə	əkbəndʰə
gəɳəkarəvu~	gəɳkarvu~
gəɳəgəɳəvu~	gəɳgəɳvu~
gəɳətərii	gəɳətri
gəɳəpəti	gəɳpəti
gəɳəvu~	gəɳvu~
gəɳəveʃə	gəɳveʃ
gəɳitə	gəɳit
gəɳeʃə	gəɳeʃ
gətagəmə	gətagəm
gəti	gəti
gədjə	gədjə
gədheɖu~	gədʰeɖu~
gəpgoɭo	gəpgoo
gəpəsəpə	gəpsəp
gəppiidasə	gəppidas
gəphələtə	gəpʰlət
gəbəɖəvu~	gəbəɖvu~
gəbii	gəbi
gəbo	gəbo
gəbhəraʈə	gəbʰraʈ
gəbhəravu~	gəbʰravu~
gəbhəru~	gəbʰru~
gəmə	gəm
gəməgiinə	gəmgin
gəmmətə	gəmmət
gəməvu~	gəmvu~
gəmarə	gəmar
gərə	gər
gərəɟə	gərəɟ
gərəɟu	gərɟu
gərəɟəvu~	gərəɟvu~
gərədənə	gərdən
gərənaɭu~	gərnaɭu~
gərəbii	gərbi
gərəbo	gərbo
gərəmə	gərəm
gərəmii	gərmi
gərəvu~	gərvu~
gəriibə	gərib
gəriibai	gəribai
gəruɖə	gəruɖ
gəroɭii	gəroɭi
gərbhadhanə	gərbʰadʰan
gərbhaʃəjə	gərbʰaʃəj
	gərvə
gələkii	gəlki
gələgoʈo	gəlgoʈo
gəlii	gəli
gəluuɖiiju~	yu& 
gəluuɖiiju~	gəluɖiju~
gəlophu~	gəlopʰu~
gəlla~təlla~	gəlla~təlta~
gəllo	gəllo
gəvənə	gəvən
gəvəijo	gəvəijo
gəɭəcəʈu~	gəɭcəʈu~
gəɭəcəvu~	gəɭəcvu~
	gəɭci
gəɭəɳii	gəɭəɳi
gəɭəpəɳə	gəɭpəɳ
gəɭəvu~	gəɭvu~
gəɭaʈu~po	gəɭaʈu~po
gəɭapha~so	gəɭapʰa~so
gəɭu~	gəɭu~
gəɭju~	gəɭju~
gə~ɟii	gəµɟi
gə~dəkii	gəndki
gə~du	gəndu~
gə~dhə	gəndʰə
gə~dhavu~	gəndʰavu~
gə~bhiirə	gəmbʰir
gaɟə	gaɟ
gaɟərə	gaɟər
gaɟəviiɟə	gaɟviɟ
gaɟəvu~	gaɟvu~
gaɖii	gaɖi
gaɖhə	gaɖʰ
gaɳu~	gaɳu~
gatha	gatʰa
gadəlu~	gadlu~
gadii	gadi
gabəɖu~	gabɖu~
gamə	gam
gajəkə	gajək
gajika	gajika
galiico	galico
gavu~	gavu~
gaɭə	gaɭ
gaɭəvu~	gaɭvu~
ga~gəɖo	ga~gɖo
ga~ʈhə	ga~ʈʰ
ga~ɖu~	ga~ɖu~
giicə	gic
giitə	git
giidhə	gidʰ
giirəvii	girvi
giiro	giro
guɟərəvu~	guɟərvu~
guɟəranə	guɟran
guɟarəvu~	guɟarvu~
guʈəko	guʈko
guɳə	guɳ
guɳədos°ə	guɳdoʃ
guɳəvu~	guɳbv~
guɳakarə	guɳakar
guɳottərə	guɳottər
gunegarə	gunegar
guno	guno
gupəcupə	gupcup
	guptə
gupha	gupʰa
gumavəvu~	gumavvu~
guru	guru
gulamorə	gulmør
gulabə	gulab
gulamə	gulam
gusso	gusso
gu~ɟəvu~	guµɟvu~
gu~ɖo	guɳɖo
gu~dərə	gundər
gu~bəɟə	gumbəɟ
guuɖhə	guɖʰ
guuməɖu~	gumɖu~
guu~gəɭavu~	gu˜gəɭavu~
guu~cə	gu~c
guu~thəvu~	gu~tʰvu~
guu~dəvu~	gu~dvu~
gerəkajəde	gerkajde
gerərəste	gerrəste
gerəlabhə	gerlabʰ
gərəvəlle	gervəlle
gerəvəvu~	gerəvvu~
gerəsəməɟə	gersəməɟ
gokəɭəgajə	gokəɭgaj
gokhəlo	gokʰlo
gokhəvu~	gokʰvu~
goɟharu~	goɟʰaru~
goʈəlii	goʈli
goʈəlo	goʈlo
goʈhəɳə	gotʰəɳ
goʈhəvəvu~	goʈʰəvvu~
goʈhijəɳə	goʈʰijəɳ
godə	god
godəɖii	godɖi
godamə	godam
gobo	gobo
goma~sə	goma~s
gorə	gør
goraɳii	gøraɳi
gorii	gori
goləmalə	golmal
govaɭə	govaɭ
govaɭəɳii	govaɭəɳi
goɭə	goɭ
goɭə	gøɭ
goɭəgoɭə	goɭgoɭ
goɭəpapəɖii	goɭpapɖi
goɭəməʈoɭə	goɭməʈoɭ
goɭii	goɭi
goɭo	goɭo
gəuɳə	gəuɳ
gəurəvə	gəurəv
grəhə	grəh
gəhəɳə	grəhəɳ
gə~thə	grəntʰ
grahəkə	grahək
ghəu~	gʰəu~
ghəuvərɳu~	gʰəu~vərɳu~
ghəʈə	gʰəʈ
ghəʈəkə	gʰəʈək
ghəʈətu~	gʰəʈtu~
ghəʈəna	gʰəʈna
ghəʈəmaɭə	gʰəʈma
ghəʈəvu~	gʰəʈvu~
ghəʈəsphoʈə	gʰʈspʰoʈ
ghəʈa	gʰəʈa
ghəʈaʈopə	gʰəʈaʈop
ghəʈaɖəvu~	gʰəʈaɖvu~
ghəʈaɖo	gʰəʈaɖo
ghəʈavəvu~	gʰəʈavvu~
ghəɖətərə	gʰəɖtər
ghəɖəpəɳə	gʰəɖpəɳ
ghəɖəvu~	gʰəɖvu~
ghəɖaii	gʰəɖai
ghəɖijaɭə	gʰəɖijaɭ
ghəɖijaɭi	gʰəɖijaɭi
ghəɖo	gəɖo
ghəɳə	gʰəɳ
ghəɳu~	gʰəɳu~
ghənə	gʰən
ghəmə~ɖə	gʰəməɳɖ
ghəmə~ɖii	gʰəməɳɖi
ghərə	gʰər
ghərəkamə	gʰərkam
ghərəkhərcə	gʰərkʰərcə
ghərəgəththu	gʰərgətʰtʰu
ghərəcoɭu~	gʰərcoɭu~
ghərəɟəmaii	gʰərɟəmai
ghərəɖu~	gʰərɖu~
ghərəbarə	gʰərbar
ghərəsə~sarə	gʰərsamsar
ghərakə	gʰərak
ghəreɳu~	gʰəreɳ~
ghəvavu~	gʰəvavu~
ghəsəgəsaʈə	gʰəsgʰəsaʈ
ghəsəɖəvu~	gʰəsəɖvu~
ghəsəɖavu~	gʰəsɖavu~
ghəsərəko	gʰəsərko
ghəsavu~	gʰəsavu~
ghə~ʈə	gʰəɳʈ
ghə~ʈəɖi	gʰəɳʈɖi
ghə~ʈii	gʰəɳʈi
gha	gʰa
ghaghəro	gʰəgʰro
ghaghərii	gʰagʰri
ghaʈ	gʰaʈ
ghaʈilu~	gʰaʈilu~
ghaɳə	gʰaɳ
ghajələ	gʰajəl
gharii	gʰari
ghaləvu~	gʰalvu~
ghasə	gʰas
ghii	gʰi
ghuvəɖə	gʰuvəɖ
ghuughərii	gʰugʰri
ghuughəvəvu~	gʰugʰəvvu~
ghuuməravu~	gʰumravu~
ghuumərii	gʰumri
ghuuməvu~	gʰumvu~
ghuurəkəvu~	gʰurəkvu~
ghusəɳiju~	gʰusəɳiju~
ghuusəvu~	gʰusvu~
ghuu~ʈəɳə	gʰu~ʈəɳ
ghuu~ʈii	gʰu~ʈi
gheʈu~	gʰeʈu~
ghenə	gʰen
ghebərə	gʰebər
gherə	gʰer
gherəvu~	gʰervu~
gheru~	gʰeru~
ghelacha	gʰelcʰa
ghelu~	gʰelu~
gho	gʰo
ghoɖapuurə	gʰoɖapur
ghoɖiiju~	gʰoɖiju~
ghoɖii	gʰoɖi
	gʰoɖo
ghorə	gʰor
ghorəvu~	gʰorvu~
ghoɭəvu~	gʰoɭvu~
cəkəcəkəvu~	cəkcəkvu~
cəkəcəkiitə	cəkcəkit
cəkəɖoɭə	cəkɖoɭ
cəkətii	cəkti
cəkəlo	cəklo
cəkəlii	cəkli
cəkamu~	cəkamu~
cəkasəvu~	cəkasvu~
cəkorə	cəkor
cəkkərə	cəkkər
cəkrəmə	cəkrəm
i)0 /cəkrəvrudʰdʰi/ 	v<i)0 
cəkrakarə	akar 
cəkrakarə	cəkrakar
cəgədəvu~	cəgədvu~
cəgəɭəvu~	cəgəɭvu~
cəcəɳəvu~	cəcəɳvu~
cəʈəkəvu~	cəʈəkvu~
cəʈəɳii	cəʈɳi
cəʈəpəʈə	cəʈpəʈ
cəʈəpəʈii	cəʈpəʈi
cəʈai	cəʈai
cəɖəutərə	cəɖutər
cəɖəcəɖəvu~	cəɖcəɖvu~
cəɖətii	cəɖti
cəɖətiipəɖətii	cəɖti pəɖti
cəɖətu~	cəɖtu~
cəɖəvu~	cəɖvu~
cəɖai	cəɖai
cəɖɖii	cəɖɖi
cəɳə	cəɳ
cəɳəvu~	cəɳvu~
cəɳijo	cəɳijo
cəɳo	cəɳo
cəturə	cətur
cətura	cətura
cətura	cəturai
cəpəʈii	cəpʈi
cəpəɭə	cəpəɭ
cəpaʈii	cəpaʈi
cəpocəpə	cəpocəp
cəppu	cəppu
cəbərəkhii	cəbərkʰi
cəbərakə	cəbrak
cəbuutəro	cəbutro
cəməkə	cəmək
cəməco	cəmco
cəmətkarə	cəmətkar
cəmelii	cəmeli
cərəkə	cərək
cərəkho	cərkʰo
cərəɳə	cərəɳ
cərəbii	cərbi
cərəvu~	cərvu~
cəritrə	cəritrə
cəru	cəru
cərcəvu~	cərcvu~
cərca	cərca
cələɳə	cələɳ
cəvaɳu~	cəvaɳu~
cəsəkəvu~	cəsəkvu~
cəsəko	cəsko
cəhero	cəhero
cəɭə	cəɭ
cəɭəvəɭə	cəvəɭ
cəɭəvu~	cəɭvu~
cəɭaməɳə	cəɭaməɳ
cə~cəɭə	cəµcəɭ
cə~dənə	cəndən
cə~drə	cəndrə
cə~pələ	cəmpəl
cə~po	cəmpo
ca	ca
cakii	caki
caku	caku
cakhəvu~	cakʰvu~
caʈəvu~	caʈvu~
caʈhu~	caʈʰu~
capəlusii	caplusi
cabəkho	cabkʰo
cabuukə	cabuk
caməɖii	camɖi
caməɖu~	camɖu~
carə	car
carəɳə	carəɳ
carəpai	carpai
cəritrə	caritrə
caro	caro
calə	cal
caləcələgətə	calcəlgət
caləbaɟii	calbaɟi
caləvu~	calvu~
calakə	calak
calakii	calaki
calu	calu
cavəvu~	cavvu~
cavii	cavi
casə	cas
caɭəɳii	caɭəɳi
caɭəvu~	caɭvu~
calisə	calis
co~cə	cø~c
co~cəɖə	ca~cəɖ
co~də	ca~d
co~dənii	ca~dni
ca~dəlo	ca~dlo
ca~dii	ca~di
ca~du~	ca~du~
ca~do	ca~do
ca~pə	ca~p
ca~pəlu~	ca~plu~
cikarə	cikar
cicəjarii	cicjari
ciʈhʈhii	ciʈʰʈʰi
ciɖavu~	ciɖavu~
ci~ta	cita
citarə	citar
cittə	cittə
citto	citto
citrə	citrə
cibavəlu~	cibavlu~
cibuukə	cibuk
cirə~ɟiivii	cirənɟivi
ciragə	cirag
cihnə	cihnə
ci~təkə	cintək
ci~tənə	cintən
ci~ta	cinta
cikəɳu~	cikɳu~
ciikii	ciki
ciiku	ciku
ciɟə	ciɟ
ciiɖə	ciɖ
ciitərəvu~	citərvu~
ciitəɭo	citɭo
ciinii	cini
ciipə	cip
ciipijo	cipijo
ciibu~	cibu~
ciməɭəvu~	ciməɭvu~
ciirəvu~	cirvu~
ciirii	ciri
ciiro	ciro
ciivəʈə	civəʈ
ciisə	cis
ciithəru~	ci~tʰru~
ciithərehalə	cithʰrehal
ci~dhəvu~	ci~dʰvu~
cuukado	cukado
cuɖelə	cuɖel
cuupə	cup
cupəkiidii	cupkidi
cuupəcapə	cupcap
custə	custə
cu~galə	cu˜gal
cu~gii	cu˜gi
cu~bənə	cumbən
cu~maɭiisə	cu~maɭis
cu~moterə	cu~moter
cuukəvəvu~	cukəvvu~
cuukəvu~	cukvu~
cuugəvu~	cugvu~
cuuɖii	cuɖi
cuunii	cuni
cuuməvu~	cumvu~
cuulo	culo
cuuvu~	cuvu~
cuusəvu~	cusvu~
cu~kə	cu~k
cuu~thəvu~	cu~tʰvu~
cu~dəɖii	cu~ndɖi
cekəvu~	cekvu~
cetənə	cetən
cetəna	cetna
cetəvəɳii	cetəvɳi
cetəvəvu~	cetəvvu~
cetəvu~	cetvu~
	cen
cepə	cep
celo	celo
celo	celi
cevəɖo	cevɖo
cehə	ceh
cətənjə	cəitənjə
cətrə	cəitrə
cokə	cøk
cokəɖii	cøkɖi
cokkəsə	cokkəs
cokəsii	cøksi
cokii	cøki
cokha	cokʰa
cokhkhaii	cokʰkʰai
cokhkhu~	cokʰkʰu~
coganə	cogan
coghəɖioju~	cogʰəɖiju~
coʈə	coʈ
coʈəvu~	cøʈvu~
coɖəvu~	cøɖvu~
cotərəphə	cotərəpʰ
cotriisə	cøtris
cothə	cotʰ
codharə	codʰar
copəgu~	copəgu~
copəɖəvu~	copəɖvu~
copəɖii	copɖi
copəɖo	copɖo
copənə	copən
copaniiju~	copaniju~
comasu~	comasu~
corə	cor
corəvu~	corvu~
corəsə	corəs
coraʃii	coraʃi
corii	cori
corii	cøri
coro	cøro
coviisə	covis
cosəʈhə	cosəʈʰ
cosəlu~	coslu~
coɭəvu~	coɭvu~
coɭa	coɭa
coɭii	coɭi
cokəvu~	co~kvu~
cəudə	cəud
chə	cʰə
chəkəvu~	cʰəkvu~
chəkko	cəkko
chəchu~dərə	cʰəcʰundər
chəʈəkəvu~	cʰəʈəkvu~
chəʈəkəvu~	cʰəʈku~
chəʈhə	cʰəʈʰ
chəɖəvu~	cʰəɖvu~
chəɖa	cʰəɖa
chəɳəkəvu~	cʰəɳəkvu~
chəɳəko	cʰəɳko
chətə	cʰət
chəta~	cʰəta~
chətrii	cʰətri
chətriisə	cʰətris
chəbərəɖo	cʰəbərɖo
chəbii	cʰəbi
chəməchəmə	cʰəmcʰəm
chələ~gə	cʰələ˜gə
chəlachələ	cʰəlacʰəl
chəvviisə	cʰəvvis
chəvviisə	 <chəvviisə>  adj 
chəɭə	cʰəɭ
chə~cheɖəvu~	cʰəncʰeɖvu~
chə~də	cʰəndə
chaɳə	cʰaɳ
chaɳu~	cʰaɳu~
chatii	cʰati
chanu~	cʰanu~
chapə	cʰap
chapəru~	cʰapru~
chapəvu~	cʰapvu~
chapu~	cʰapu~
chabə	cʰab
chabəɖii	cʰabɖi
chaja	cʰaja
chalə	cʰal
chalə	cʰalək
chala~	cʰala~
chavəɳii	cʰavɳi
chavərəvu~	cʰavərvu~
chaʃə	cʰaʃ
chasəʈə	cʰasəʈʰ
cha~ʈo	cʰa~ʈo
cha~ɖəvu~	cʰa~ɖvu~
chii	cʰi
chiinəvəvu~	cʰinəvvu~
chiipə	cʰip
chuuʈə	cʰuʈ
chuuʈəkə	cʰutək
chuuʈəchaʈə	cʰuʈcʰaʈ
chuuʈəvu~	cʰuʈvu~
chuuʈacheɖa	cʰuʈacʰeɖa
chuuʈu~	cʰutu~
chuupu~	cʰupu~
chuu~dəɳu~	cʰu~ndəɳu~
chu~do	cʰu~do
chekə	cʰek
chekəvu~	cʰekvu~
cheɖətii	cʰeɖti
cheɖəvu~	cʰeɖvu~
cheɖo	cʰeɖo
chetərəvu~	cʰetərvu~
chetəraməɳə	cʰetraməɳ
chetaɭiisə	cʰetaɭis
chedə	cʰed
chedəvu~	cʰedvu~
chellu~	cʰellu~
chevəʈe	cʰevəʈe
chevəʈe	 <chevəʈe>  advb at 
chokərəmətə	cʰokərmət
chokərii	cʰokri
chokəru~	cʰokru~
chokəro	cʰokro
choɖəvu~	cʰoɖvu~
chotəru~	cʰotru~
chotəru~	cʰol
choləvu~	cʰolvu~
choterə	cʰoter
chjasii	cʰjasi
ɟə	ɟə
ɟəkatə	ɟəkat
ɟəkkii	ɟəkki
ɟəkhəmə	ɟəkʰəm
	ɟəgət
ɟəgja	ɟəgja
ɟəɖə	ɟəɖ
ɟəɖəbatoɖə	ɟəɖbatoɖ
ɟəɖəbu~	ɟəɖbu~
ɟəɖəbhərətə	ɟəɖbʰərət
ɟəɖəvu~	ɟəɖvu~
ɟəɳ	ɟəɳ
ɟəɳəvu~	ɟəɳvu~
ɟəɳavəvu~	ɟəɳavvu~
ɟəkatə	ɟətən
ɟənmə	ɟənmə
ɟənəmə	ɟənəm
ɟənməʈiipə	ɟənməʈip
ɟəpə	ɟəp
ɟəpəvu~	ɟəpvu~
ɟəməɳə	ɟəməɳ
ɟəməɳəvarə	ɟəməɳvar
ɟəməɳu~	ɟəmɳu~
ɟəməvu~	ɟəmvu~
ɟəma	ɟəma
ɟəmaii	ɟəmai
ɟəmatə	ɟəmat
ɟəmadarə	ɟəmadar
ɟəmano	ɟəmano
ɟəmiinə	ɟəmin
ɟərə	ɟər
ɟərəkhə	ɟərəkʰ
ɟəra	ɟəra
ɟələdii	ɟəldi
ɟələso	ɟəlso
ɟəlebii	ɟəlebi
ɟəlladə	ɟəllad
ɟəvə	ɟəv
ɟəvəlle	ɟəvəlle
ɟəvabə	ɟəvab
ɟəvu~	ɟəvu~
ɟəʃə	ɟəʃ
ɟəhaɟə	ɟəhaɟ
ɟə~gələ	ɟə˜gəl
ɟə~tu~	ɟəntu
ɟə~pə	ɟəmpə
ɟagərəɳə	ɟagrəɳ
ɟagəvu~	ɟagvu~
ɟaɟəmə	ɟaɟəm
ɟaɟəru~	ɟaɟru~
ɟaɟərəmanə	ɟaɟərman
ɟaɖaii	ɟaɖai
ɟaɖu~	ɟaɖu~
ɟaɳə	ɟaɳ
ɟaɳəvu~	ɟaɳvu~
ɟaɳiitu~	ɟaɳitu~
ɟaɳe	ɟaɳe
ɟatə	ɟat
ɟatəkəmaii	ɟatkəmai
ɟati	ɟati
ɟatiijə	ɟatijə
ɟate	ɟate
	ɟatra
ɟadu	ɟadu
ɟanə	ɟan
ɟanəmalə	ɟanmal
ɟanəvərə	ɟanvər
ɟanəijo	ɟanəijo
ɟapə	ɟap
ɟamə	ɟam
ɟaməphəɭə	ɟampəɭ
ɟaməvu~	ɟamvu~
ɟamiinə	ɟamin
ɟavəkə	ɟavək
ɟasuusə	ɟasus
ɟaso	ɟaso
ɟaherə	ɟaher
ɟaheratə	ɟaherat
ɟaɭə	ɟaɭ
ɟaɭəvəɳii	ɟaɭəvɳi
ɟaɭiju~	ɟaɭiju~
ɟa~ghə	ɟa~˜gə
ɟa~bu	ɟa~mbu
ɟiɟiivis°a	ɟiɟiviʃa
ɟignasa	ɟignasa
ɟidə	ɟid
ɟiddii	ɟiddi
ɟillo	ɟillo
ɟii~dəgii	ɟindgi
ɟiitə	ɟit
ɟiitəvu~	ɟitvu~
ɟiinə	ɟin
ɟiibhə	ɟibʰ
ɟiibhaɟoɖii	ɟibʰaɟoɖi
ɟiirəvəvu~	ɟirəvvu~
ɟiiru~	ɟiru~
ɟiivə	ɟiv
ɟiivəɟə~tu~	ɟivɟəntu~
ɟiivəɖu~	ɟivɖu~
ɟiivətərə	ɟivtər
ɟiivətu~	ɟivtu~
ɟiivadəja	ɟivdəja
ɟiivənə	ɟivən
ɟiivəbhəkshii	ɟivbʰəkʃi
ɟiivəleɳə	ɟivleɳ
ɟiivəvu~	ɟivvu~
ɟiivaɳu~	ɟivaɳu~
ɟiivatə	ɟivat
ɟiivatma	ɟivatma
ɟugələ	ɟugəl
ɟugarə	ɟugar
ɟugarii	ɟugari
ɟugupsa	ɟugupsa
ɟuʈhʈhu~	ɟuʈʰʈʰu~
ɟudaii	ɟudai
ɟudu~	ɟudu~
ɟunəvaɳii	ɟunvani
ɟubanii	ɟubani
ɟuməlo	ɟumlo
ɟulabə	ɟulab
ɟuvarə	ɟuvar
ɟusso	ɟusso
ɟuu	ɟu
ɟuii	ɟui
ɟuuɟə	ɟuɟ
ɟuʈhə	ɟuʈʰ
ɟuʈhu~	ɟuʈʰu~
ɟuuthə	ɟutʰ
ɟuunu~	ɟunu~
ɟeʈhə	ɟeʈʰ
ɟeʈhaɳii	ɟeʈʰaɳi
ɟelə	ɟel
ɟevəɖu~	ɟevɖu~
ɟevu~	ɟevu~
ɟehadə	ɟehad
ɟəinə	ɟain
ɟəinə	ɟəin
ɟo	ɟo
ɟoii	ɟoi-
ɟokhəmə	ɟokʰəm
ɟokhəmavu~	ɟokʰəmavu~
ɟokhəvu~	ɟokʰvu~
ɟogəvaii	ɟogvai
ɟoganuɟogə	ɟoganu~ɟog
ɟogii	ɟogi
ɟoɖə	ɟoɖ
ɟoɖəɳii	ɟoɖɳi
ɟoɖəɳiikoʃə	ɟoɖɳikoʃ
ɟoɖəvu~	ɟoɖvu~
ɟoɖakʃərə	ɟoɖakʃər
ɟoɖaɟoɖə	ɟoɖaɟoɖ
ɟoɖaɳə	ɟoɖaɳ
ɟoɖiiju~	ɟoɖiju~
ɟoɖii	ɟoɖi
ɟoɖo	ɟoɖo
ɟorə	ɟor
ɟovu~	ɟovu~
ɟjarəthii	ɟjartʰi
ɟjare	ɟjare
ɟja~	ɟja~
ɟjotə	ɟjot
ɟjotis°ii	ɟjotiʃi
ɟhəgəməgaʈə	ɟʰəgməgaʈ
ɟhəghəɖo	ɟʰəgɖo
ɟhəɟhuuməvu~	ɟʰəɟʰumvu~
ɟhəʈə	ɟʰəʈ
ɟhəʈəkəvu~	ɟʰəʈəkvu~
ɟəʈəko	ɟʰəʈko
ɟhəʈəpəʈə	ɟʰəʈpəʈ
ɟhəɖətii	ɟʰəɖti
ɟhəɖəpə	ɟʰəɖəp
ɟhəɖəpəvu~	ɟʰəɖəpvu~
ɟhəɖəpii	ɟʰəɖpi
ɟhəɳəɟhəɳə	ɟʰəɳɟʰəɳ
ɟhəpaɟhəpii	ɟʰəpaɟʰəpi
ɟhəbəkəvu~	ɟʰəbəkvu~
ɟhəbəkaro	ɟʰəbkaro
ɟhəbəkoɭəvu~	ɟʰəbkoɭvu~
ɟhəbuukəvu~	ɟʰəbukvu~
ɟhəbhəlu~	ɟʰəbʰlu~
ɟhəbhbho	ɟʰəbʰbʰo
ɟhəməvu~	ɟʰəmvu~
ɟərəmərə	ɟʰərmər
ɟhərəvu~	ɟʰərvu~
ɟhərukho	ɟʰərukʰo
ɟhəro	ɟʰəro
ɟhəɭəkəvu~	ɟʰəɭəkvu~
ɟhəɭəɟhəɭiija~	ɟʰəɭɟʰəɭija~
ɟhəɭu~ɟhəɭu~	ɟʰəɭu~ɟʰɭu~
ɟhəɭəhəɭəvu~	ɟʰəɭhəɭvu~
ɟhə~khəna	ɟʰə˜kʰəna
ɟhə~khəvavu~	ɟʰə˜kʰvavu~
ɟhə~khəvu~	ɟʰə˜kʰvu~
ɟhə~ɟhəʈə	ɟʰəµɟʰəʈ
ɟhə~ɟhavatə	ɟʰəµɟʰavat
ɟhə~ɖo	ɟəɳɖo
ɟhakəɭə	ɟʰakə
ɟhaɟhu~	ɟʰaɟʰu~
ɟhaʈəkəvu~	ɟʰaʈəkvu~
ɟhaɖə	ɟʰaɖ
ɟhaɖəvu~	ɟʰaɖvu~
ɟhaɖii	ɟʰaɖi
ɟhaɖu~	ɟʰaɖu~
ɟhaɖo	ɟʰaɖo
ɟhapəʈvu~	ɟʰapəʈvu~
ɟhapəʈu~	ɟʰapʈu~
ɟharəɳə	ɟʰarəɳ
ɟharəvu~	ɟʰarvu~
ɟhalərə	ɟʰalər
ɟhaləvu~	ɟʰalvu~
ɟhaɭə	ɟʰaɭ
ɟa~khəru~	ɟʰa~kʰru~
ɟha~ɟhərə	ɟʰa~ɟər
ɟha~ɟhərii	ɟʰa~ɟʰri
ɟha~po	ɟʰa~po
ɟhiiɳu~	ɟʰiɳu~
ɟiiləvu~	ɟʰilvu~
ɟhuukəvu~	ɟʰukvu~
ɟhuuɟhəvu~	ɟʰuɟʰvu~
ɟhu~ʈəvəvu~	ɟʰu~ʈəvvu~
ɟhuuɖəvu~	ɟʰuɖvu~
ɟhuuɖii	ɟʰuɖi
ɟuuɖo	ɟʰuɖo
ɟhu~beʃə	ɟʰumbeʃ
ɟuum]vu~	ɟʰumvu~
ɟhuurəvu~	ɟʰurvu~
ɟuuləvu~	ɟʰulvu~
ɟhulavəvu~	ɟʰulavvu~
ɟhu~pəɖu~	ɟʰu~pɖu~
ɟherə	ɟʰer
ɟherii	ɟʰeri
ɟheriilu~	ɟʰerilu~
ɟhokəvu~	ɟʰokvu~
ɟhoku~	ɟʰoku~
	ʈəkvu~
ʈəkau	ʈəkau
ʈəkavarii	ʈəkavari
ʈəko	ʈəko
ʈəkorə	ʈəkor
ʈəkorəvu~	ʈəkorvu~
ʈəkkərə	ʈəkkər
ʈəko	təko
ʈəguməgu	ʈəguməgu
ʈəcəkavəvu~	ʈəckavvu~
ʈəcəko	ʈəcko
ʈəcəlii	ʈəcli
ʈəcuukəɖu~	ʈəcukɖu~
ʈəʈarə	ʈəʈar
ʈəʈʈu	ʈəʈʈu
ʈəpəkəvu~	ʈəpəkvu~
ʈəpəkavəvu~	təpkavvu~
ʈəpəku~	ʈəpku~
ʈəpəʈəpə	ʈəpʈəp
ʈəpəlii	lI 
ʈəpəlii	ʈəpli
ʈəpoʈəpə	ʈəpoʈəp
ʈəpaʈəpii	ʈəpaʈəpi
ʈəparəvu~	ʈəparvu~
ʈəpalə	ʈəpal
ʈəpalii	ʈəpali
ʈəbukəɖu~	ʈəbukɖu~
ʈəməkəvu~	ʈəməkvu~
ʈəhuu~ko	ʈəhu~ko
ʈəɭəvəɭəvu~	ʈəɭvəɭvu~
ʈəɭəvu~	ʈəɭvu~
ʈə~kəʃaɭə	tə˜kəʃaɭ
ʈə~ʈo	ʈəɳʈo
ʈaɖhə	ʈaɖʰ
ʈaɖhu~	ʈaɖʰu~
ʈaɳu~	ʈaɳu~
ʈapəʈiipə	ʈapʈip
ʈapu	ʈapu
ʈalə	ʈal
ʈaɭəvu~	ʈaɭvu~
ʈa~kəɳii	ʈa~kɳi
ʈa~kəvu~	ʈa~kvu~
ʈa~kii	ʈa~ki
ʈa~ko	ʈa~ko
ʈa~gə	ʈa~˜g
ʈa~gəvu	ʈa~˜gvu~
ʈa~cəɳə	ʈa~cəɳ
ʈa~ʈijo	ʈa~ʈijo
ʈicavu~	ʈicavu~
ʈiʈoɖii	ʈiʈoɖi
ʈippəɳii	ʈippəɳi
ʈikəɖii	ʈikɖi
ʈiika	ʈika
ʈiikhəɭə	ʈikʰə
ʈiicəvu~	ʈicvu~
ʈiipəvu~	ʈipvu~
ʈiipu~	ʈipu~
ʈiiləɖii	ʈilɖi
ʈili	ʈili
ʈiɖoru~	ʈiɳɖoru~
ʈuukəɖii	ʈukɖi
ʈukəɖo	ʈukɖo
ʈucəko	ʈucko
	ʈuval
ʈu~kavəvu~	ʈu~kavvu~
ʈu~pəvu~	ʈu~pvu~
ʈu~po	ʈu~po
ʈekərii	ʈekri
ʈekəvvu~	ʈekəvvu~
ʈekəvu~	ʈekvu~
ʈeko	ʈeko
ʈerəvu~	ʈervu~
ʈev]	ʈev
ʈevavu~	ʈevavu~
ʈəkovu~	ʈokvu~
ʈocə	ʈoc
ʈocəvu~	ʈocvu~
ʈopəlii	ʈopli
ʈopəlo	ʈoplo
ʈopii	ʈopi
ʈopo	ʈopo
ʈoɭəkii	ʈoɭki
ʈoɭii	ʈoɭi
ʈoɭu~	ʈoɭu~
ʈhəgə	ʈʰəg
ʈhəgəvu~	ʈʰəgvu~
ʈhəgaii	ʈʰəgai
ʈhəgaru~	ʈʰəgaru~
ʈhəpəko	ko 
ʈhəpəko	ʈʰəpko
ʈhərəvu~	ʈʰərvu~
ʈhərəvu~	ʈʰərav
ʈhəravəvu~	ʈʰəravvu~
ʈhərelə	ʈʰərel
ʈhələvavu~	ʈʰəlvavu~
ʈhəsəvu~	ʈʰəsvu~
ʈhəsothəsə	ʈʰəsoʈʰəs
ʈhəɭijo	ʈʰəɭijo
ʈhə~ɖəkə	ʈʰəɳɖək
ʈhə~ɖii	ʈʰəɳɖi
ʈhə~ɖu~	tʰəɳɖu~
ʈhakorə	ʈʰakor
