अ,ə
छुच्छी,t͡ʃʰ ʊ t͡ʃ t͡ʃʰ iː
छुछकारना,t͡ʃʰ ʊ t͡ʃʰ k ɑː ɾ n ɑː
छुछमछली,t͡ʃʰ ʊ t͡ʃʰ m ə t͡ʃʰ l iː
छुछूँदर,t͡ʃʰ ʊ t͡ʃʰ uː n d̪ ə ɾ
छुट,t͡ʃʰ ʊ ʈ
छुट-,t͡ʃʰ ʊ ʈ -
छुटका,t͡ʃʰ ʊ ʈ k ɑː
छुटका-,t͡ʃʰ ʊ ʈ k ɑː -
छुटकारा,t͡ʃʰ ʊ ʈ k ɑː ɾ ɑː
छुटपन,t͡ʃʰ ʊ ʈ p ə n
छुटपना,t͡ʃʰ ʊ ʈ p ə n ɑː
छुटफुट,t͡ʃʰ ʊ ʈ pʰ ʊ ʈ
छुटभैया,t͡ʃʰ ʊ ʈ bʱ ɛː j ɑː
छुटवाना,t͡ʃʰ ʊ ʈ ʋ ɑː n ɑː
छुटाई,t͡ʃʰ ʊ ʈ ɑː iː
छुटाना,t͡ʃʰ ʊ ʈ ɑː n ɑː
छुटापा,t͡ʃʰ ʊ ʈ ɑː p ɑː
छुटौती,t͡ʃʰ ʊ ʈ ɔː t̪ iː
छुट्टा,t͡ʃʰ ʊ ʈ ʈ ɑː
छुट्टी,t͡ʃʰ ʊ ʈ ʈ iː
छुड़वाना,t͡ʃʰ ʊ ɽ ʋ ɑː n ɑː
छुड़ाई,t͡ʃʰ ʊ ɽ ɑː iː
छुड़ाना,t͡ʃʰ ʊ ɽ ɑː n ɑː
छुड़ाव,t͡ʃʰ ʊ ɽ ɑː ʋ
छुड़ौती,t͡ʃʰ ʊ ɽ ɔː t̪ iː
छुतहरा,t͡ʃʰ ʊ t̪ ə ɦ ɾ ɑː
छुतहा,t͡ʃʰ ʊ t̪ ɦ ɑː
छुधा,t͡ʃʰ ʊ d̪ʱ ɑː
छुधित,t͡ʃʰ ʊ d̪ʱ ɪ t̪
छुपना,t͡ʃʰ ʊ p n ɑː
छुरा,t͡ʃʰ ʊ ɾ ɑː
छुरी,t͡ʃʰ ʊ ɾ iː
छुलकना,t͡ʃʰ ʊ l ə k n ɑː
छुलछुला,t͡ʃʰ ʊ l t͡ʃʰ ʊ l ɑː
छुलछुलाना,t͡ʃʰ ʊ l t͡ʃʰ ʊ l ɑː n ɑː
छुलाई,t͡ʃʰ ʊ l ɑː iː
छुलाना,t͡ʃʰ ʊ l ɑː n ɑː
छुहना,t͡ʃʰ ʊ ɦ n ɑː
छुहारा,t͡ʃʰ ʊ ɦ ɑː ɾ ɑː
छुहावट,t͡ʃʰ ʊ ɦ ɑː ʋ ə ʈ
छूँछा,t͡ʃʰ uː n t͡ʃʰ ɑː
छूँछी,t͡ʃʰ uː n t͡ʃʰ iː
छू,t͡ʃʰ uː
छूई-मूई,t͡ʃʰ uː iː - m uː iː
छूछ,t͡ʃʰ uː t͡ʃʰ
छूछक,t͡ʃʰ uː t͡ʃʰ ə k
छूछा,t͡ʃʰ uː t͡ʃʰ ɑː
छूछी,t͡ʃʰ uː t͡ʃʰ iː
छूट,t͡ʃʰ uː ʈ
छूटना,t͡ʃʰ uː ʈ n ɑː
छूत,t͡ʃʰ uː t̪
छूना,t͡ʃʰ uː n ɑː
छूही,t͡ʃʰ uː ɦ iː
छूही,t͡ʃʰ uː ɦ iː
छेंक,t͡ʃʰ eː ~ k
छेंकन,t͡ʃʰ eː ~ k ə n
छेंकना,t͡ʃʰ eː ~ k n ɑː
छेंकवैया,t͡ʃʰ eː ~ k ʋ ɛː j ɑː
छेंकाव,t͡ʃʰ eː ~ k ɑː ʋ
छेक,t͡ʃʰ eː k
छेक-,t͡ʃʰ eː k -
छेकना,t͡ʃʰ eː k n ɑː
छेकला,t͡ʃʰ eː k l ɑː
छेड़,t͡ʃʰ eː ɽ
छेड़ना,t͡ʃʰ eː ɽ n ɑː
छेड़ा,t͡ʃʰ eː ɽ ɑː
छेत्र,t͡ʃʰ eː t̪ ɾ
छेद,t͡ʃʰ eː d̪
छेदक,t͡ʃʰ eː d̪ ə k
छेदन,t͡ʃʰ eː d̪ ə n
छेदना,t͡ʃʰ eː d̪ n ɑː
छेदा,t͡ʃʰ eː d̪ ɑː
छेना,t͡ʃʰ eː n ɑː
छेना,t͡ʃʰ eː n ɑː
छेनी,t͡ʃʰ eː n iː
छेम,t͡ʃʰ eː m
छेर,t͡ʃʰ eː ɾ
छेरना,t͡ʃʰ eː ɾ n ɑː
छेरी,t͡ʃʰ eː ɾ iː
छेरुआ,t͡ʃʰ eː ɾ ʊ ɑː
छेव,t͡ʃʰ eː ʋ
छेवना,t͡ʃʰ eː ʋ n ɑː
छेवनी,t͡ʃʰ eː ʋ n iː
छेवर,t͡ʃʰ eː ʋ ə ɾ
छेवा,t͡ʃʰ eː ʋ ɑː
छै,t͡ʃʰ ɛː
छैना,t͡ʃʰ ɛː n ɑː
छैया,t͡ʃʰ ɛː j ɑː
छैल,t͡ʃʰ ɛː l
छैला,t͡ʃʰ ɛː l ɑː
छैलापन,t͡ʃʰ ɛː l ɑː p ə n
छोआ,t͡ʃʰ oː ɑː
छोकड़ा,t͡ʃʰ oː k ɽ ɑː
छोकरा,t͡ʃʰ oː k ɾ ɑː
छोकरी,t͡ʃʰ oː k ɾ iː
छोटा,t͡ʃʰ oː ʈ ɑː
छोटाई,t͡ʃʰ oː ʈ ɑː iː
छोटापन,t͡ʃʰ oː ʈ ɑː p ə n
छोड़कर,t͡ʃʰ oː ɽ k ə ɾ
छोड़ना,t͡ʃʰ oː ɽ n ɑː
छोड़ाना,t͡ʃʰ oː ɽ ɑː n ɑː
छोत,t͡ʃʰ oː t̪
छोनि-,t͡ʃʰ oː n ɪ -
छोनी,t͡ʃʰ oː n iː
छोप,t͡ʃʰ oː p
छोपना,t͡ʃʰ oː p n ɑː
छोभ,t͡ʃʰ oː bʱ
छोर,t͡ʃʰ oː ɾ
छोर-,t͡ʃʰ oː ɾ -
छोरा,t͡ʃʰ oː ɾ ɑː
छोरी,t͡ʃʰ oː ɾ iː
छोल,t͡ʃʰ oː l
छोलदारी,t͡ʃʰ oː l d̪ ɑː ɾ iː
छोलना,t͡ʃʰ oː l n ɑː
छोलनी,t͡ʃʰ oː l n iː
छोला,t͡ʃʰ oː l ɑː
छोह,t͡ʃʰ oː ɦ
छोहरा,t͡ʃʰ oː ɦ ɾ ɑː
छोहरी,t͡ʃʰ oː ɦ ɾ iː
छोहा-,t͡ʃʰ oː ɦ ɑː -
छोही,t͡ʃʰ oː ɦ iː
छौंक,t͡ʃʰ ɔː ~ k
छौंकन,t͡ʃʰ ɔː ~ k ə n
छौंकना,t͡ʃʰ ɔː ~ k n ɑː
छौना,t͡ʃʰ ɔː n ɑː
छौर,t͡ʃʰ ɔː ɾ
छौर,t͡ʃʰ ɔː ɾ
ज,d͡ʒ ə
ज़ंग,z ə ŋ g
जंग,d͡ʒ ə ŋ g
जंग,d͡ʒ ə ŋ g
जंगम,d͡ʒ ə ŋ g ə m
जंगल,d͡ʒ ə ŋ g ə l
जंगला,d͡ʒ ə ŋ g l ɑː
जंगली,d͡ʒ ə ŋ g l iː
जंगलीपन,d͡ʒ ə ŋ g l iː p ə n
ज़ँगाना,z ə ŋ g ɑː n ɑː
ज़ंगार,z ə ŋ g ɑː ɾ
ज़ंगारी,z ə ŋ g ɑː ɾ iː
जंगी,d͡ʒ ə ŋ g iː
जंघा,d͡ʒ ə ŋ gʱ ɑː
जँचना,d͡ʒ ə n t͡ʃ n ɑː
जँचवैया,d͡ʒ ə n t͡ʃ ʋ ɛː j ɑː
जँचा,d͡ʒ ə n t͡ʃ ɑː
जँचाई,d͡ʒ ə n t͡ʃ ɑː iː
जँचावट,d͡ʒ ə n t͡ʃ ɑː ʋ ə ʈ
जंजाल,d͡ʒ ə n ɑː l
जंजाल,d͡ʒ ə n ɑː l
जंजालिया,d͡ʒ ə n ɑː l ɪ j ɑː
जंजाली,d͡ʒ ə n ɑː l iː
ज़ंजीर,z ə n iː ɾ
ज़ंजीर,z ə n iː ɾ ə
ज़ंजीरी,z ə n iː ɾ iː
जंट,d͡ʒ ə n ʈ
जंत,d͡ʒ ə n t̪
जंतर,d͡ʒ ə n t̪ ə ɾ
जंतरी,d͡ʒ ə n t̪ ɾ iː
जंतरी,d͡ʒ ə n t̪ ɾ iː
जँत़सर,d͡ʒ ə n t̪ s ə ɾ
जँतसार,d͡ʒ ə n t̪ s ɑː ɾ
जँतसारी,d͡ʒ ə n t̪ s ɑː ɾ iː
जंता,d͡ʒ ə n t̪ ɑː
जंता,d͡ʒ ə n t̪ ɑː
जँताना,d͡ʒ ə n t̪ ɑː n ɑː
जंती,d͡ʒ ə n t̪ iː
जंतु,d͡ʒ ə n t̪ ʊ
जंदरा,d͡ʒ ə n d̪ ɾ ɑː
जंबक,d͡ʒ ə m b ə k
जंबीर,d͡ʒ ə m b iː ɾ
जंबु,d͡ʒ ə m b ʊ
जंबुक,d͡ʒ ə m b ʊ k
जंबू,d͡ʒ ə m b uː
ज़ंबूरक,z ə m b uː ɾ ə k
जँभाना,d͡ʒ ə m bʱ ɑː n ɑː
जँभाई,d͡ʒ ə m bʱ ɑː iː
जंभीर,d͡ʒ ə m bʱ iː ɾ
जँवाई,d͡ʒ ə ~ ʋ ɑː iː
-ज,- d͡ʒ ə
जई,d͡ʒ ə iː
ज़ईफ़ी,z ə iː f iː
ज़क,z ə k
जक,d͡ʒ ə k
जक,d͡ʒ ə k
जकड़,d͡ʒ ə k ə ɽ
जकड़ना,d͡ʒ ə k ə ɽ n ɑː
ज़कात,z ə k ɑː t̪
जख,d͡ʒ ə kʰ
ज़ख़म,z ə x m
ज़ख़मी,z ə x m iː
ज़खी़रा,z ə x iː ɾ ɑː
ज़ख़्म,z ə x m
ज़ख़्मी,z ə x m iː
जग,d͡ʒ ə g
जग,d͡ʒ ə g
जगज्-,d͡ʒ ə g ə d͡ʒ -
जगजगाना,d͡ʒ ə g d͡ʒ ə g ɑː n ɑː
जगजगाहट,d͡ʒ ə g d͡ʒ ə g ɑː ɦ ə ʈ
जगण,d͡ʒ ə g ə n
जगत,d͡ʒ ə g ə t̪
जगत्,d͡ʒ ə g ə t̪
जग,d͡ʒ ə g
जगती,d͡ʒ ə g ə t̪ iː
जगद्-,d͡ʒ ə g ə d̪ -
जगन्-,d͡ʒ ə g ə n -
जगना,d͡ʒ ə g n ɑː
जगमग,d͡ʒ ə g m ə g
जगमगा,d͡ʒ ə g m ə g ɑː
जगमगाना,d͡ʒ ə g m ə g ɑː n ɑː
जगमगाहट,d͡ʒ ə g m ə g ɑː ɦ ə ʈ
जगर-मगर,d͡ʒ ə g ə ɾ - m ə g ə ɾ
जगवाना,d͡ʒ ə g ʋ ɑː n ɑː
जगह,d͡ʒ ə g ə ɦ
जगहा,d͡ʒ ə g ɦ ɑː
-जगा,- d͡ʒ ə g ɑː
जगा-जोत,d͡ʒ ə g ɑː - d͡ʒ oː t̪
जगात,d͡ʒ ə g ɑː t̪
जगाना,d͡ʒ ə g ɑː n ɑː
जग्य,d͡ʒ ə g j ə
जघन,d͡ʒ ə gʱ ə n
जघन्य,d͡ʒ ə gʱ ə n j ə
जघन्यता,d͡ʒ ə gʱ ə n j ə t̪ ɑː
जच-,d͡ʒ ə t͡ʃ -
ज़चा,z ə t͡ʃ ɑː
जच्चा,d͡ʒ ə t͡ʃ t͡ʃ ɑː
ज़च्चा,z ə t͡ʃ t͡ʃ ɑː
जच्छ,d͡ʒ ə t͡ʃ t͡ʃʰ
जज,d͡ʒ ə d͡ʒ
जज़बात,d͡ʒ ə z b ɑː t̪
जजमान,d͡ʒ ə d͡ʒ m ɑː n
जजमानी,d͡ʒ ə d͡ʒ m ɑː n iː
जज़िया,d͡ʒ ə z ɪ j ɑː
जजी,d͡ʒ ə d͡ʒ iː
जज़ीरा,d͡ʒ ə z iː ɾ ɑː
जजु,d͡ʒ ə d͡ʒ ʊ
जज़्ब,d͡ʒ ə z b
जज़्बा,d͡ʒ ə z b ɑː
जज़्बात,d͡ʒ ə z b ɑː t̪
जज़बाती,d͡ʒ ə z b ɑː t̪ iː
जट,d͡ʒ ə ʈ
जटना,d͡ʒ ə ʈ n ɑː
जटमलंग,d͡ʒ ə ʈ m ə l ə ŋ g
जटल,d͡ʒ ə ʈ ə l
जाटवाड़ा,d͡ʒ ə ʈ ʋ ɑː ɽ ɑː
जटा,d͡ʒ ə ʈ ɑː
जटाउ,d͡ʒ ə ʈ ɑː uː
जटायु,d͡ʒ ə ʈ ɑː j ʊ
जटित,d͡ʒ ə ʈ ɪ t̪
जटिल,d͡ʒ ə ʈ ɪ l
जटिलता,d͡ʒ ə ʈ ɪ l ə t̪ ɑː
जटी,d͡ʒ ə ʈ iː
जट्टी,d͡ʒ ə ʈ ʈ iː
जठर,d͡ʒ ə ʈʰ ə ɾ
जठेरा,d͡ʒ ə ʈʰ eː ɾ ɑː
जड़,d͡ʒ ə ɽ
जड़,d͡ʒ ə ɽ
जड़ता,d͡ʒ ə ɽ ə t̪ ɑː
जड़त्व,d͡ʒ ə ɽ ə t̪ ʋ ə
जड़न,d͡ʒ ə ɽ ə n
जड़ना,d͡ʒ ə ɽ n ɑː
जड़वट,d͡ʒ ə ɽ ʋ ə ʈ
जड़वत,d͡ʒ ə ɽ ʋ ə t̪
जड़वाई,d͡ʒ ə ɽ ʋ ɑː iː
जड़वाना,d͡ʒ ə ɽ ʋ ɑː n ɑː
जड़वी,d͡ʒ ə ɽ ʋ iː
जड़हन,d͡ʒ ə ɽ ɦ ə n
जड़ाई,d͡ʒ ə ɽ ɑː iː
जड़ाउ,d͡ʒ ə ɽ ɑː uː
जड़ान,d͡ʒ ə ɽ ɑː n
जड़ाना,d͡ʒ ə ɽ ɑː n ɑː
जड़ाना,d͡ʒ ə ɽ ɑː n ɑː
जड़ाव,d͡ʒ ə ɽ ɑː ʋ
जड़ावट,d͡ʒ ə ɽ ɑː ʋ ə ʈ
जड़ावर,d͡ʒ ə ɽ ɑː ʋ ə ɾ
जड़ित,d͡ʒ ə ɽ ɪ t̪
जड़िया,d͡ʒ ə ɽ ɪ j ɑː
जड़ी,d͡ʒ ə ɽ iː
जड़ीला,d͡ʒ ə ɽ iː l ɑː
जड़ुल,d͡ʒ ə ɽ ʊ l
जत,d͡ʒ ə t̪
जतन,d͡ʒ ə t̪ ə n
जतनी,d͡ʒ ə t̪ n iː
जतरिया,d͡ʒ ə t̪ ɾ ɪ j ɑː
जतरी,d͡ʒ ə t̪ ɾ iː
जतलाना,d͡ʒ ə t̪ l ɑː n ɑː
जताना,d͡ʒ ə t̪ ɑː n ɑː
जती,d͡ʒ ə t̪ iː
जतु,d͡ʒ ə t̪ ʊ
जतुक,d͡ʒ ə t̪ ʊ k
जत्था,d͡ʒ ə t̪ t̪ʰ ɑː
जत्रु,d͡ʒ ə t̪ ɾ ʊ
जद,d͡ʒ ə d̪
जद-,d͡ʒ ə d̪ -
जदपि,d͡ʒ ə d̪ ə p ɪ
जदवार,d͡ʒ ə d̪ ʋ ɑː ɾ
जदीद,d͡ʒ ə d̪ iː d̪
जदुईस,d͡ʒ ə d̪ ʊ iː s
जद्दी,d͡ʒ ə d̪ d̪ iː
जन,d͡ʒ ə n
ज़न,z ə n
-जनक,- d͡ʒ ə n ə k
ज़नख़दाँ,z ə n ə x d̪ ɑː ~
ज़नख़ा,z ə n x ɑː
जनता,d͡ʒ ə n ə t̪ ɑː
जनन,d͡ʒ ə n ə n
जनना,d͡ʒ ə n n ɑː
जननी,d͡ʒ ə n ə n iː
जनब,d͡ʒ ə n ə b
जनमना,d͡ʒ ə n ə m n ɑː
जनमाना,d͡ʒ ə n m ɑː n ɑː
जनयिता,d͡ʒ ə n ə j ɪ t̪ ɑː
जनरल,d͡ʒ ə n ɾ ə l
जनवरी,d͡ʒ ə n ʋ ə ɾ iː
जनवाँसा,d͡ʒ ə n ʋ ɑː n s ɑː
जनवाई,d͡ʒ ə n ʋ ɑː iː
जनवाना,d͡ʒ ə n ʋ ɑː n ɑː
जनवासा़,d͡ʒ ə n ʋ ɑː s ɑː
जना,d͡ʒ ə n ɑː
जनाई,d͡ʒ ə n ɑː iː
जनाज़ा,d͡ʒ ə n ɑː z ɑː
ज़नानखा़ना,z ə n ɑː n x ɑː n ɑː
ज़नाना,z ə n ɑː n ɑː
जनाना,d͡ʒ ə n ɑː n ɑː
जनाना,d͡ʒ ə n ɑː n ɑː
ज़नानापन,z ə n ɑː n ɑː p ə n
ज़नानी,z ə n ɑː n iː
जनाब,d͡ʒ ə n ɑː b
जनाव,d͡ʒ ə n ɑː ʋ
जनाव,d͡ʒ ə n ɑː ʋ
जनावर,d͡ʒ ə n ɑː ʋ ə ɾ
जनि,d͡ʒ ə n ɪ
जनि,d͡ʒ ə n ɪ
जनित,d͡ʒ ə n ɪ t̪
जनिता,d͡ʒ ə n ɪ t̪ ɑː
जनित्री,d͡ʒ ə n ɪ t̪ ɾ iː
जनी,d͡ʒ ə n iː
जनु,d͡ʒ ə n ʊ
जनुक,d͡ʒ ə n ʊ k
जनून,d͡ʒ ə n uː n
जनूनी,d͡ʒ ə n uː n iː
जनूब,d͡ʒ ə n uː b
जनूबी,d͡ʒ ə n uː b iː
जनेऊ,d͡ʒ ə n eː uː
जनेत,d͡ʒ ə n eː t̪
जनेवा,d͡ʒ ə n eː ʋ ɑː
जनौं,d͡ʒ ə n ɔː ~
जन्नत,d͡ʒ ə n n ə t̪
जन्नती,d͡ʒ ə n n ə t̪ iː
जन्म,d͡ʒ ə n m
जन्मना,d͡ʒ ə n m ə n ɑː
जन्माना,d͡ʒ ə n m ɑː n ɑː
जन्मी,d͡ʒ ə n m iː
जन्य,d͡ʒ ə n j ə
जप,d͡ʒ ə p
जपजी,d͡ʒ ə p d͡ʒ iː
जपना,d͡ʒ ə p n ɑː
जपा,d͡ʒ ə p ɑː
जपा,d͡ʒ ə p ɑː
जपी,d͡ʒ ə p iː
जफ़ा,d͡ʒ ə f ɑː
ज़फ़ीर,z ə f iː ɾ
ज़फ़ील,z ə f iː l
जब,d͡ʒ ə b
जबड़ा,d͡ʒ ə b ɽ ɑː
ज़बर,z ə b ə ɾ
जबर,d͡ʒ ə b ɾ
जबरन,d͡ʒ ə b ɾ ə n
जबराइल,d͡ʒ ə b ɾ ɑː ɪ l
जबरी,d͡ʒ ə b ɾ iː
ज़बह,z ə b ə ɦ
ज़बान,z ə b ɑː n
ज़बानी,z ə b ɑː n iː
जबार,d͡ʒ ə b ɑː ɾ
ज़बून,z ə b uː n
ज़ब्त,z ə b t̪
ज़ब्ती,z ə b t̪ iː
जब्बार,d͡ʒ ə b b ɑː ɾ
जभी,d͡ʒ ə bʱ iː
जम,d͡ʒ ə m
जमकना,d͡ʒ ə m ə k n ɑː
जमकूड़ा,d͡ʒ ə m k uː ɽ ɑː
जमघट,d͡ʒ ə m gʱ ə ʈ
जमघटा,d͡ʒ ə m gʱ ə ʈ ɑː
ज़मज़म,z ə m z ə m
जमना,d͡ʒ ə m n ɑː
जमना,d͡ʒ ə m n ɑː
जमानिका,d͡ʒ ə m ə n ɪ k ɑː
जमनौता,d͡ʒ ə m n ɔː t̪ ɑː
जमहूर,d͡ʒ ə m ɦ uː ɾ
जमहूरियत,d͡ʒ ə m ɦ uː ɾ ɪ j ə t̪
जमा,d͡ʒ ə m ɑː
जमाई,d͡ʒ ə m ɑː iː
जमाऊ,d͡ʒ ə m ɑː uː
जमात,d͡ʒ ə m ɑː t̪
जमादार,d͡ʒ ə m ɑː d̪ ɑː ɾ
ज़मानत,z ə m ɑː n ə t̪
ज़मानतन,z ə m ɑː n ə t̪ ə n
ज़मानती,z ə m ɑː n ə t̪ iː
जमाना,d͡ʒ ə m ɑː n ɑː
ज़माना,z ə m ɑː n ɑː
जमाल,d͡ʒ ə m ɑː l
जमाल-गोटा,d͡ʒ ə m ɑː l - g oː ʈ ɑː
जमाव,d͡ʒ ə m ɑː ʋ
जमावट,d͡ʒ ə m ɑː ʋ ə ʈ
जमावटी,d͡ʒ ə m ɑː ʋ ʈ iː
जमावडा़,d͡ʒ ə m ɑː ʋ ɽ ɑː
ज़मीं-,z ə m iː ~ -
ज़मीन,z ə m iː n
ज़मीन-,z ə m iː n -
ज़मीनी,z ə m iː n iː
जमीयत,d͡ʒ ə m iː j ə t̪
ज़मीर,z ə m iː ɾ
जमैयत,d͡ʒ ə m ɛː j ə t̪
जमोआ,d͡ʒ ə m oː ɑː
जमोग,d͡ʒ ə m oː g
जमोगा,d͡ʒ ə m oː g ɑː
जमोट,d͡ʒ ə m oː ʈ
जम्हाई,d͡ʒ ə m ɦ ɑː iː
जम्हाना,d͡ʒ ə m ɦ ɑː n ɑː
जयंती,d͡ʒ ə j ə n t̪ iː
जय,d͡ʒ ə j
जय-,d͡ʒ ə j -
जयक,d͡ʒ ə j ə k
जयचंदी,d͡ʒ ə j t͡ʃ ə n d̪ iː
जयत-कल्याण,d͡ʒ ə j ə t̪ - k ə l j ɑː n
जयति,d͡ʒ ə j ə t̪ ɪ
जयन,d͡ʒ ə j ə n
जया,d͡ʒ ə j ɑː
जयिष्णु,d͡ʒ ə j ɪ ʃ n ʊ
जयी,d͡ʒ ə j iː
ज़र,z ə ɾ
जर,d͡ʒ ə ɾ
जर,d͡ʒ ə ɾ
जर-,d͡ʒ ə ɾ -
जर-,d͡ʒ ə ɾ -
जरजर,d͡ʒ ə ɾ d͡ʒ ə ɾ
जरठ,d͡ʒ ə ɾ ə ʈʰ
ज़रद,z ə ɾ d̪
ज़रदा,z ə ɾ d̪ ɑː
ज़रदी,z ə ɾ d̪ iː
जरना,d͡ʒ ə ɾ n ɑː
जरनि,d͡ʒ ə ɾ ə n ɪ
ज़रब,z ə ɾ ə b
ज़रबीला,z ə ɾ b iː l ɑː
ज़रर,z ə ɾ ə ɾ
जरवा-,d͡ʒ ə ɾ ʋ ɑː -
जरा,d͡ʒ ə ɾ ɑː
ज़रा,z ə ɾ ɑː
जरा-,d͡ʒ ə ɾ ɑː -
जराइ,d͡ʒ ə ɾ ɑː ɪ
ज़राफ़त,z ə ɾ ɑː f ə t̪
जरायम,d͡ʒ ə ɾ ɑː j m
जरायु,d͡ʒ ə ɾ ɑː j ʊ
जंराव,d͡ʒ ə ɾ ɑː ʋ
जराह,d͡ʒ ə ɾ ɑː ɦ
ज़रिया,z ə ɾ ɪ j ɑː
जरिया,d͡ʒ ə ɾ ɪ j ɑː
जरिया,d͡ʒ ə ɾ ɪ j ɑː
ज़री,z ə ɾ iː
जरीब,d͡ʒ ə ɾ iː b
जरीबाना,d͡ʒ ə ɾ iː b ɑː n ɑː
जरुथ,d͡ʒ ə ɾ ʊ t̪ʰ
ज़रूर,z ə ɾ uː ɾ
ज़रूरत,z ə ɾ uː ɾ ə t̪
ज़रूरियात,z ə ɾ uː ɾ ɪ j ɑː t̪
जरेला,d͡ʒ ə ɾ eː l ɑː
जर्जर,d͡ʒ ə ɾ d͡ʒ ə ɾ
जर्जरता,d͡ʒ ə ɾ d͡ʒ ə ɾ ə t̪ ɑː
जर्जरित,d͡ʒ ə ɾ d͡ʒ ə ɾ ɪ t̪
ज़र्द,z ə ɾ d̪
ज़र्दा,z ə ɾ d̪ ɑː
ज़र्दी,z ə ɾ d̪ iː
ज़र्रा,z ə ɾ ɾ ɑː
जर्राह,d͡ʒ ə ɾ ɾ ɑː ɦ
जर्राही,d͡ʒ ə ɾ ɾ ɑː ɦ iː
जर्राही,d͡ʒ ə ɾ ɾ ɑː ɦ iː
जल,d͡ʒ ə l
जलंधर,d͡ʒ ə l ə n d̪ʱ ə ɾ
ज़लज़ला,z ə l z ə l ɑː
जलजलाना,d͡ʒ ə l d͡ʒ ə l ɑː n ɑː
जलजलाहट,d͡ʒ ə l d͡ʒ ə l ɑː ɦ ə ʈ
जलन,d͡ʒ ə l ə n
जलना,d͡ʒ ə l n ɑː
जलपाई,d͡ʒ ə l p ɑː iː
जलवा,d͡ʒ ə l ʋ ɑː
जलवाना,d͡ʒ ə l ʋ ɑː n ɑː
जलवैया,d͡ʒ ə l ʋ ɛː j ɑː
जलसा,d͡ʒ ə l s ɑː
जलहर,d͡ʒ ə l ɦ ə ɾ
जलहरि,d͡ʒ ə l ɦ ə ɾ ɪ
जला,d͡ʒ ə l ɑː
जलाऊ,d͡ʒ ə l ɑː uː
जलाना,d͡ʒ ə l ɑː n ɑː
जलापा,d͡ʒ ə l ɑː p ɑː
ज़लाल,d͡ʒ ə l ɑː l
ज़लालत,z ə l ɑː l ə t̪
ज़लालत,z ə l ɑː l ə t̪
जलाली,d͡ʒ ə l ɑː l iː
जलावतन,d͡ʒ ə l ɑː - ʋ ə t̪ ə n
जलावतनी,d͡ʒ ə l ɑː ʋ ə t̪ ə n iː
जलावन,d͡ʒ ə l ɑː ʋ ə n
जली-कटी,d͡ʒ ə l iː - k ə ʈ iː
जलीय-,d͡ʒ ə l iː j ə -
ज़लील,z ə l iː l
जलूस,d͡ʒ ə l uː s
जलेबा,d͡ʒ ə l eː b ɑː
जलेबी,d͡ʒ ə l eː b iː
जलैया,d͡ʒ ə l ɛː j ɑː
जलोदर,d͡ʒ ə l oː d̪ ə ɾ
जल्द,d͡ʒ ə l d̪
जल्दी,d͡ʒ ə l d̪ iː
जल्प,d͡ʒ ə l p
जल्प-,d͡ʒ ə l p -
जल्पक,d͡ʒ ə l p ə k
जल्लाद,d͡ʒ ə l l ɑː d̪
जल्लादी,d͡ʒ ə l l ɑː d̪ iː
जल्वा,d͡ʒ ə l ʋ ɑː
जवन,d͡ʒ ə ʋ ə n
जवनिका,d͡ʒ ə ʋ ə n ɪ k ɑː
जवाँ,d͡ʒ ə ʋ ɑː ~
जवाँ,d͡ʒ ə ʋ ɑː ~
जवा,d͡ʒ ə ʋ ɑː
जवा,d͡ʒ ə ʋ ɑː
जवा,d͡ʒ ə ʋ ɑː
जवाद,d͡ʒ ə ʋ ɑː d̪
जवान,d͡ʒ ə ʋ ɑː n
जवानपन,d͡ʒ ə ʋ ɑː n p ə n
जवानपना,d͡ʒ ə ʋ ɑː n p ə n ɑː
जवानी,d͡ʒ ə ʋ ɑː n iː
जवानी,d͡ʒ ə ʋ ɑː n iː
जवाब,d͡ʒ ə ʋ ɑː b
जवाबी,d͡ʒ ə ʋ ɑː b iː
जवारा,d͡ʒ ə ʋ ɑː ɾ ɑː
जवारी,d͡ʒ ə ʋ ɑː ɾ iː
जवाल,d͡ʒ ə ʋ ɑː l
ज़वाल,z ə ʋ ɑː l
जवाली,d͡ʒ ə ʋ ɑː l iː
जवास,d͡ʒ ə ʋ ɑː s
जवासा,d͡ʒ ə ʋ ɑː s ɑː
जवाहर,d͡ʒ ə ʋ ɑː ɦ ə ɾ
जवाहरात,d͡ʒ ə ʋ ɑː ɦ ə ɾ ɑː t̪
जवाहिर,d͡ʒ ə ʋ ɑː ɦ ɪ ɾ
जशन,d͡ʒ ə ʃ ə n
जस,d͡ʒ ə s
जस,d͡ʒ ə s
जसु,d͡ʒ ə s ʊ
जसुदा,d͡ʒ ə s ʊ d̪ ɑː
जसुमति,d͡ʒ ə s ʊ m ə t̪ ɪ
जसोदा,d͡ʒ ə s oː d̪ ɑː
जसोवै,d͡ʒ ə s oː ʋ ɛː
जस्त,d͡ʒ ə s t̪
जस्त,d͡ʒ ə s t̪
जस्तई,d͡ʒ ə s t̪ ə iː
जस्ता,d͡ʒ ə s t̪ ɑː
जहँ,d͡ʒ ə ɦ ə ~
जहद,d͡ʒ ə ɦ d̪
जहन्नुम,d͡ʒ ə ɦ ə n n ʊ m
जहन्नुमी,d͡ʒ ə ɦ ə n n ʊ m iː
ज़हमत,z ə ɦ m ə t̪
